Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
National Institute of Technology Delhi,National Institute of Technology Delhi,,India
Nandankanan Zoological Park,Nandankanan Zoological Park,,India
Biocon Limited,Biocon Limited,,India
VProteomics,VProteomics,,India
Ruhvenile Biomedical OPC Private Limited,Ruhvenile Biomedical OPC Private Limited,,India
D.E. Shaw India Private Ltd.,D.E. Shaw India Private Ltd.,,India
Aravind Eye Care System,Aravind Eye Care System,,India
Datar Cancer Genetics Limited,Datar Cancer Genetics Limited,,India
Morsel Research and Development Pvt Ltd,Morsel Research and Development Pvt Ltd,,India
REVA University,REVA University,,India
SR University,SR University,,India
SRCC Children’s Hospital,SRCC Children’s Hospital,,India
Shoolini University of Biotechnology and Management Sciences,Shoolini University of Biotechnology and Management Sciences,,India
UPL Limited,UPL Limited,,India
Ispat General Hospital,Ispat General Hospital,,India
Agartala Government Medical College,Agartala Government Medical College,,India
Matrivani Institute of Experimental Research and Education,Matrivani Institute of Experimental Research and Education,,India
Rani Lakshmi Bai Central Agricultural University,Rani Lakshmi Bai Central Agricultural University,,India
"Sri Karan Narendra Agriculture University, Jobner","Sri Karan Narendra Agriculture University, Jobner",,India
University of Allahabad,University of Allahabad,,India
"Government Arts College, Melur","Government Arts College, Melur",,India
Central University of Jammu,Central University of Jammu,,India
Breach Candy Hospital,Breach Candy Hospital,,India
Jaslok Hospital,Jaslok Hospital,,India
G.H.G. Khalsa College,G.H.G. Khalsa College,,India
Northern Railway Central Hospital,Northern Railway Central Hospital,,India
Monk Prayogshala,Monk Prayogshala,,India
Apollo Hospitals Enterprise Ltd.,Apollo Hospitals Enterprise Ltd.,,India
"Mesh Dynamics, Inc.","Mesh Dynamics, Inc.",,India
Manian Medical Centre,Manian Medical Centre,,India
Medanta The Medicity,Medanta The Medicity,,India
Suraj Eye Institute,Suraj Eye Institute,,India
BLDE University,BLDE University,,India
Bangalore Baptist Hospital,Bangalore Baptist Hospital,,India
JSS Academy of Higher Education and Research,JSS Academy of Higher Education and Research,,India
Srinivas Institute of Dental Sciences,Srinivas Institute of Dental Sciences,,India
Eternal Heart Care Centre and Research Institute Pvt Ltd.,Eternal Heart Care Centre and Research Institute Pvt Ltd.,,India
Bioinsilico Technologies,Bioinsilico Technologies,,India
Government of Karnataka,Government of Karnataka,,India
Guru Angad Dev Veterinary and Animal Sciences University,Guru Angad Dev Veterinary and Animal Sciences University,,India
Initiative for Financing Health and Human Development,Initiative for Financing Health and Human Development,,India
PSG Institute of Medical Sciences and Research,PSG Institute of Medical Sciences and Research,,India
Universitas Padjadjaran,Universitas Padjadjaran,,Indonesia
Eijkman Institute for Molecular Biology,Eijkman Institute for Molecular Biology,,Indonesia
Museum Geologi Bandung,Museum Geologi Bandung,,Indonesia
Balai Arkeologi Sulawesi Selatan,Balai Arkeologi Sulawesi Selatan,,Indonesia
Maranatha Christian University,Maranatha Christian University,,Indonesia
Samosir Geoarea Management Board,Samosir Geoarea Management Board,,Indonesia
Airlangga University,Airlangga University,,Indonesia
Halu Oleo University,Halu Oleo University,,Indonesia
Politeknik STTT Bandung,Politeknik STTT Bandung,,Indonesia
Mandala Waluya Medical School,Mandala Waluya Medical School,,Indonesia
Diponegoro University,Diponegoro University,,Indonesia
Atma Jaya Catholic University of Indonesia,Atma Jaya Catholic University of Indonesia,,Indonesia
Yarsi University,Yarsi University,,Indonesia
Pertamina University,Pertamina University,,Indonesia
Indonesian National Centre for Archaeological Research,Indonesian National Centre for Archaeological Research,,Indonesia
Indonesia Ministry of Health,Indonesia Ministry of Health,,Indonesia
EuroVacc Foundation,EuroVacc Foundation,,International
Damghan University,Damghan University,,Iran
Bu-Ali Sina University,Bu-Ali Sina University,,Iran
University of Kurdistan,University of Kurdistan,,Iran
Shiraz University,Shiraz University,,Iran
University of Zanjan,University of Zanjan,,Iran
Shahrood University of Technology,Shahrood University of Technology,,Iran
Yazd University,Yazd University,,Iran
Kharazmi University,Kharazmi University,,Iran
Lorestan University,Lorestan University,,Iran
Razi University,Razi University,,Iran
University of Birjand,University of Birjand,,Iran
Azarbaijan Shahid Madani University,Azarbaijan Shahid Madani University,,Iran
University of Tabriz,University of Tabriz,,Iran
Shahid Chamran University of Ahvaz,Shahid Chamran University of Ahvaz,,Iran
Jahrom University,Jahrom University,,Iran
Ahvaz Jundishapour University of Medical Sciences,Ahvaz Jundishapour University of Medical Sciences,,Iran
Urmia University,Urmia University,,Iran
Arak University,Arak University,,Iran
University of Qom,University of Qom,,Iran
Hakim Sabzevari University,Hakim Sabzevari University,,Iran
Shahed University,Shahed University,,Iran
Hamadan University of Medical Sciences,Hamadan University of Medical Sciences,,Iran
Yasouj University,Yasouj University,,Iran
University of Maragheh,University of Maragheh,,Iran
Farzan Molecular and Pathobiology Laboratory,Farzan Molecular and Pathobiology Laboratory,,Iran
Ilam University,Ilam University,,Iran
University of Kashan,University of Kashan,,Iran
Niroo Research Institute,Niroo Research Institute,,Iran
University of Art,University of Art,,Iran
D-8 International University,D-8 International University,,Iran
Isfahan University of Medical Sciences,Isfahan University of Medical Sciences,,Iran
National Museum of Iran,National Museum of Iran,,Iran
Shahid Sadoughi University of Medical Sciences,Shahid Sadoughi University of Medical Sciences,,Iran
Kawsar Human Genetics Research Center,Kawsar Human Genetics Research Center,,Iran
Kimia Solar Company,Kimia Solar Company,,Iran
Specialized Immunology Laboratory of Dr. Shahrooei,Specialized Immunology Laboratory of Dr. Shahrooei,,Iran
Ministry of Agriculture Jihad,Ministry of Agriculture Jihad,,Iran
Arak University of Medical Sciences,Arak University of Medical Sciences,,Iran
Babol University of Medical Sciences,Babol University of Medical Sciences,,Iran
Iranshahr University of Medical Sciences,Iranshahr University of Medical Sciences,,Iran
Milad General Hospital,Milad General Hospital,,Iran
Maragheh University of Medical Sciences,Maragheh University of Medical Sciences,,Iran
Qom University of Medical Sciences,Qom University of Medical Sciences,,Iran
Ardabil University of Medical Sciences,Ardabil University of Medical Sciences,,Iran
University of Social Welfare and Rehabilitation Sciences,University of Social Welfare and Rehabilitation Sciences,,Iran
Gonabad University of Medical Sciences,Gonabad University of Medical Sciences,,Iran
University of Tikrit,University of Tikrit,,Iraq
University of Babylon,University of Babylon,,Iraq
Charmo University,Charmo University,,Iraq
Al-Hadi University College,Al-Hadi University College,,Iraq
University of Garmian,University of Garmian,,Iraq
Ibn Khaldoon Private University College,Ibn Khaldoon Private University College,,Iraq
University of Fallujah,University of Fallujah,,Iraq
Al-Anbar University,Al-Anbar University,,Iraq
University of Misan,University of Misan,,Iraq
Al-Mustansiriya University,Al-Mustansiriya University,,Iraq
University of Wasit,University of Wasit,,Iraq
Farabi Medical Laboratory,Farabi Medical Laboratory,,Iraq
Cihan University,Cihan University,,Iraq
Salahaddin University-Erbil,Salahaddin University-Erbil,,Iraq
Soran University,Soran University,,Iraq
The University of Dublin,The University of Dublin,,Ireland
Marine Institute,Marine Institute,,Ireland
Technological University Dublin,Technological University Dublin,,Ireland
The Agriculture and Food Development Authority - Teagasc,The Agriculture and Food Development Authority - Teagasc,,Ireland
Beaumont Hospital,Beaumont Hospital,,Ireland
Our Lady's Children’s Hospital,Our Lady's Children’s Hospital,,Ireland
Súil Interactive Ltd.,Súil Interactive Ltd.,,Ireland
Temple Street Children's University Hospital,Temple Street Children's University Hospital,,Ireland
Alkermes plc,Alkermes plc,,Ireland
Medtronic plc,Medtronic plc,,Ireland
St. Patrick's University Hospital,St. Patrick's University Hospital,,Ireland
Tyco International Ltd.,Tyco International Ltd.,,Ireland
PolyPico Technologies Ltd.,PolyPico Technologies Ltd.,,Ireland
Israel Ministry of Agriculture and Rural Development,Israel Ministry of Agriculture and Rural Development,,Israel
Geological Survey of Israel,Geological Survey of Israel,,Israel
Maccabi Health Services,Maccabi Health Services,,Israel
Chaim Sheba Medical Center at Tel HaShomer,Chaim Sheba Medical Center at Tel HaShomer,,Israel
Clalit Health Care Services,Clalit Health Care Services,,Israel
Rafael Advanced Defense Systems Ltd.,Rafael Advanced Defense Systems Ltd.,,Israel
Ruppin Academic Center,Ruppin Academic Center,,Israel
Hadassah Academic College,Hadassah Academic College,,Israel
Wild Biotech Ltd.,Wild Biotech Ltd.,,Israel
Baruch Padeh Medical Center,Baruch Padeh Medical Center,,Israel
Afeka Tel Aviv Academic College of Engineering,Afeka Tel Aviv Academic College of Engineering,,Israel
Weebit Nano,Weebit Nano,,Israel
Israel Antiquities Authority,Israel Antiquities Authority,,Israel
Schneider Children's Medical Center of Isreal,Schneider Children's Medical Center of Isreal,,Israel
Tower Semiconductor Ltd.,Tower Semiconductor Ltd.,,Israel
KI Research Institute,KI Research Institute,,Israel
Wohl Institute for Translational Medical Research,Wohl Institute for Translational Medical Research,,Israel
Migal - Galilee Research Institute,Migal - Galilee Research Institute,,Israel
Hillel Yaffe Medical Center,Hillel Yaffe Medical Center,,Israel
Meir Medical Center,Meir Medical Center,,Israel
Israel Defense Forces,Israel Defense Forces,,Israel
Luxembourg Bio Technologies Ltd.,Luxembourg Bio Technologies Ltd.,,Israel
NRGene,NRGene,,Israel
Augmanity Nano Ltd.,Augmanity Nano Ltd.,,Israel
Zoological Center Tel Aviv-Ramat Gan,Zoological Center Tel Aviv-Ramat Gan,,Israel
Kinneret College on the Sea of Galilee,Kinneret College on the Sea of Galilee,,Israel
Ironi Dalet Tel Aviv High School,Ironi Dalet Tel Aviv High School,,Israel
"NovellusDx, Ltd.","NovellusDx, Ltd.",,Israel
Pangea Therapeutics Ltd.,Pangea Therapeutics Ltd.,,Israel
"Tabor Electronics, Inc.","Tabor Electronics, Inc.",,Israel
Haemek Medical Center,Haemek Medical Center,,Israel
Nazareth Hospital EMMS,Nazareth Hospital EMMS,,Israel
Tel-Hai College,Tel-Hai College,,Israel
Shenkar College of Engineering and Design,Shenkar College of Engineering and Design,,Israel
Curesponse,Curesponse,,Israel
Assuta Medical Center,Assuta Medical Center,,Israel
Israel Police,Israel Police,,Israel
Galmed Pharmaceuticals Ltd.,Galmed Pharmaceuticals Ltd.,,Israel
Emedgene Technologies Ltd.,Emedgene Technologies Ltd.,,Israel
Sapir College,Sapir College,,Israel
Galilee Society,Galilee Society,,Israel
Be'er Ya'akov Mental Health Medical Center,Be'er Ya'akov Mental Health Medical Center,,Israel
Holy Family Hospital,Holy Family Hospital,,Israel
StatExcellence Ltd.,StatExcellence Ltd.,,Israel
Netanya Academic College,Netanya Academic College,,Israel
Sapienza University of Rome,Sapienza University of Rome,,Italy
Polytechnic University of Milan,Polytechnic University of Milan,,Italy
University of Rome Tor Vergata,University of Rome Tor Vergata,,Italy
University of Genova,University of Genova,,Italy
Polytechnic University of Turin,Polytechnic University of Turin,,Italy
University of Perugia,University of Perugia,,Italy
Elettra - Sincrotrone Trieste S.C.p.A.,Elettra - Sincrotrone Trieste S.C.p.A.,,Italy
University of Catania,University of Catania,,Italy
University of Roma Tre,University of Roma Tre,,Italy
University of Salento,University of Salento,,Italy
University of Insubria,University of Insubria,,Italy
Techint Group,Techint Group,,Italy
Telethon Foundation,Telethon Foundation,,Italy
Italy Ministry of Health,Italy Ministry of Health,,Italy
Bocconi University,Bocconi University,,Italy
University of Sannio,University of Sannio,,Italy
Edmund Mach Foundation,Edmund Mach Foundation,,Italy
University of Campania Luigi Vanvitelli,University of Campania Luigi Vanvitelli,,Italy
Eni s.p.a.,Eni s.p.a.,,Italy
Chiesi Farmaceutici S. p. A.,Chiesi Farmaceutici S. p. A.,,Italy
Toscana Life Science Foundation,Toscana Life Science Foundation,,Italy
University of Urbino,University of Urbino,,Italy
Unitelma Sapienza University,Unitelma Sapienza University,,Italy
Parthenope University of Naples,Parthenope University of Naples,,Italy
University of Bergamo,University of Bergamo,,Italy
VisMederi srl,VisMederi srl,,Italy
Bracco Imaging S.p.A.,Bracco Imaging S.p.A.,,Italy
Human Technopole Foundation,Human Technopole Foundation,,Italy
University of Basilicata,University of Basilicata,,Italy
BeDimensional Srl,BeDimensional Srl,,Italy
Polytechnic University of Bari,Polytechnic University of Bari,,Italy
Acea Elabori S.p.A.,Acea Elabori S.p.A.,,Italy
ReiThera Srl,ReiThera Srl,,Italy
Azienda Ospedaliera di Padova,Azienda Ospedaliera di Padova,,Italy
Ceinge - Biotecnologie Avanzate S.C. a r.l.,Ceinge - Biotecnologie Avanzate S.C. a r.l.,,Italy
Superior Health Institute,Superior Health Institute,,Italy
Ospedale Civile Spirito Santo,Ospedale Civile Spirito Santo,,Italy
Niguarda Hospital,Niguarda Hospital,,Italy
Archaeological Park of Pompeii,Archaeological Park of Pompeii,,Italy
Nerviano Medical Sciences S.r.l.,Nerviano Medical Sciences S.r.l.,,Italy
Space Dynamics Services s.r.l. - SpaceDyS,Space Dynamics Services s.r.l. - SpaceDyS,,Italy
Siena University Hospital,Siena University Hospital,,Italy
Tethys Research Institute,Tethys Research Institute,,Italy
Istituto Zooprofilattico Sperimentale della Puglia e della Basilicata,Istituto Zooprofilattico Sperimentale della Puglia e della Basilicata,,Italy
Azienda Sanitaria Universitaria Integrata di Trieste,Azienda Sanitaria Universitaria Integrata di Trieste,,Italy
United Hospitals Villa Sofia-Cervello,United Hospitals Villa Sofia-Cervello,,Italy
A.O.U. Citta della Salute e della Scienza di Torino,A.O.U. Citta della Salute e della Scienza di Torino,,Italy
FLIM LABS Srl,FLIM LABS Srl,,Italy
Dompé Corporate,Dompé Corporate,,Italy
Hospital Amedeo di Savoia - Birago di Vische,Hospital Amedeo di Savoia - Birago di Vische,,Italy
Quantavis s.r.l.,Quantavis s.r.l.,,Italy
Itt Italia S.R.L.,Itt Italia S.R.L.,,Italy
Servizio di Polizia Scientifica,Servizio di Polizia Scientifica,,Italy
ASST Fatebenefratelli-Sacco,ASST Fatebenefratelli-Sacco,,Italy
Biopox Srl,Biopox Srl,,Italy
Biki Technologies s.r.l.,Biki Technologies s.r.l.,,Italy
Asilo nido Gli Elfi del Boschetto,Asilo nido Gli Elfi del Boschetto,,Italy
Plasmore S.r.l.,Plasmore S.r.l.,,Italy
Holostem Terapie Avanzate S.r.l.,Holostem Terapie Avanzate S.r.l.,,Italy
Bioversity International,Bioversity International,,Italy
Mediterranean Institute of Oncology,Mediterranean Institute of Oncology,,Italy
Geostudi Astier srl,Geostudi Astier srl,,Italy
GeneraLife IVF,GeneraLife IVF,,Italy
Zoomarine Italia SpA,Zoomarine Italia SpA,,Italy
Milan Natural History Museum,Milan Natural History Museum,,Italy
Ente Nazionale Risi,Ente Nazionale Risi,,Italy
Glycores,Glycores,,Italy
Agenzia Regionale Prevenzione e Ambiente della Regione Emilia-Romagna,Agenzia Regionale Prevenzione e Ambiente della Regione Emilia-Romagna,,Italy
AOU Policlinico Gaetano Martino,AOU Policlinico Gaetano Martino,,Italy
Prysmian S.p.A.,Prysmian S.p.A.,,Italy
University Hospital of Verona,University Hospital of Verona,,Italy
ARPA Lazio,ARPA Lazio,,Italy
Museo Giacomo Manzù,Museo Giacomo Manzù,,Italy
Naicons s.r.l.,Naicons s.r.l.,,Italy
Alto Trevigiano Servizi S.r.l.,Alto Trevigiano Servizi S.r.l.,,Italy
Fondazione Romeo ed Enrica Invernizzi,Fondazione Romeo ed Enrica Invernizzi,,Italy
ASST Santi Paolo e Carlo,ASST Santi Paolo e Carlo,,Italy
AREA Science Park,AREA Science Park,,Italy
Cogentech S.c.a.r.l.,Cogentech S.c.a.r.l.,,Italy
BrainTrends,BrainTrends,,Italy
Cage Chemicals S.r.l.,Cage Chemicals S.r.l.,,Italy
Charybdis Vaccines Srl,Charybdis Vaccines Srl,,Italy
MUSE - Museo delle Scienze di Trento,MUSE - Museo delle Scienze di Trento,,Italy
IRCCS Policlinico San Donato,IRCCS Policlinico San Donato,,Italy
IMAGO7 Foundation,IMAGO7 Foundation,,Italy
Takis S.r.l.,Takis S.r.l.,,Italy
